
area,num_people,avg_temp,insulation_score,building_age,monthly_energy_consumption
56,9,37,7,32,1612.21
108,5,21,3,44,803.6
92,2,22,1,48,620.94
227,5,38,6,46,1313.01
282,6,15,5,45,1203.04
268,4,23,1,55,1433.43
71,8,27,4,32,1296.3
200,7,34,8,46,1417.9
45,1,32,7,26,372.4
168,8,22,2,15,1203.56
71,7,34,1,50,1608.66
78,8,35,3,59,1932.56
179,9,16,9,56,1045.26
211,3,32,9,30,701.79
152,3,21,6,2,460.19
136,4,29,8,53,733.31
192,6,22,1,27,1269.18
219,3,34,7,29,1149.43
134,4,28,5,20,645.33
89,3,20,7,48,347.24
164,2,37,4,38,807.43
178,1,36,3,40,994.07
101,3,28,3,22,760.3
175,4,18,5,0,478.82
247,7,37,4,20,1727.17
168,5,21,7,23,670.47
299,8,32,9,3,1485.92
91,8,12,5,5,731.71
235,1,18,3,2,344.97
121,4,21,1,7,620.78
59,3,17,7,15,44.57
212,7,14,6,25,815.75
101,4,39,6,50,1200.24
61,6,20,3,30,768.39
134,3,18,6,49,542.63
169,6,23,4,27,1119.95
274,7,13,1,29,1234.95
228,8,39,4,18,1725.77


